8
  0.00  0.00  0.00  1.00
  0.00  0.00  5.00  1.00
  0.00  5.00  0.00  1.00
  0.00  5.00  5.00  1.00
  5.00  0.00  0.00  1.00
  5.00  0.00  5.00  1.00
  5.00  5.00  0.00  1.00
  5.00  5.00  5.00  1.00
  0.00  0.00 10.00  1.00
  0.00  0.00 15.00  1.00
  0.00  5.00 10.00  1.00
  0.00  5.00 15.00  1.00
  5.00  0.00 10.00  1.00
  5.00  0.00 15.00  1.00
  5.00  5.00 10.00  1.00
  5.00  5.00 15.00  1.00
  0.00 10.00  0.00  1.00
  0.00 10.00  5.00  1.00
  0.00 15.00  0.00  1.00
  0.00 15.00  5.00  1.00
  5.00 10.00  0.00  1.00
  5.00 10.00  5.00  1.00
  5.00 15.00  0.00  1.00
  5.00 15.00  5.00  1.00
  0.00 10.00 10.00  1.00
  0.00 10.00 15.00  1.00
  0.00 15.00 10.00  1.00
  0.00 15.00 15.00  1.00
  5.00 10.00 10.00  1.00
  5.00 10.00 15.00  1.00
  5.00 15.00 10.00  1.00
  5.00 15.00 15.00  1.00
 10.00  0.00  0.00  1.00
 10.00  0.00  5.00  1.00
 10.00  5.00  0.00  1.00
 10.00  5.00  5.00  1.00
 15.00  0.00  0.00  1.00
 15.00  0.00  5.00  1.00
 15.00  5.00  0.00  1.00
 15.00  5.00  5.00  1.00
 10.00  0.00 10.00  1.00
 10.00  0.00 15.00  1.00
 10.00  5.00 10.00  1.00
 10.00  5.00 15.00  1.00
 15.00  0.00 10.00  1.00
 15.00  0.00 15.00  1.00
 15.00  5.00 10.00  1.00
 15.00  5.00 15.00  1.00
 10.00 10.00  0.00  1.00
 10.00 10.00  5.00  1.00
 10.00 15.00  0.00  1.00
 10.00 15.00  5.00  1.00
 15.00 10.00  0.00  1.00
 15.00 10.00  5.00  1.00
 15.00 15.00  0.00  1.00
 15.00 15.00  5.00  1.00
 10.00 10.00 10.00  1.00
 10.00 10.00 15.00  1.00
 10.00 15.00 10.00  1.00
 10.00 15.00 15.00  1.00
 15.00 10.00 10.00  1.00
 15.00 10.00 15.00  1.00
 15.00 15.00 10.00  1.00
 15.00 15.00 15.00  1.00
numex
 1 1 1 1 1 1 1 1
inb
 0 0 0 0 0 0 0 0
